Title,Author,ISBN,Available
The Hitchhiker's Guide to the Galaxy,Douglas Adams,978-0345391803,TRUE
Pride and Prejudice,Jane Austen,978-0141439518,TRUE
1984,George Orwell,978-0451524935,FALSE
To Kill a Mockingbird,Harper Lee,978-0446310789,TRUE
The Great Gatsby,F. Scott Fitzgerald,978-0743273565,TRUE
Moby Dick,Herman Melville,978-1503280786,FALSE
The Lord of the Rings,J.R.R. Tolkien,978-0618260274,TRUE
Dune,Frank Herbert,978-0441172719,TRUE
Sapiens: A Brief History of Humankind,Yuval Noah Harari,978-0062316097,TRUE
Educated,Tara Westover,978-0399590504,FALSE
